d,eps,EDM,ADM,FP,speedup,label
4,1,0.00003558,0.30926002,22,8691.962346,36us\n309ms
4,2,0.00003901,0.323511813,8,8293.048262,39us\n323ms
4,4,0.00004887,0.356798794,4,7300.977988,49us\n357ms
4,8,,,,,
8,1,0.00006871,0.985800271,33,14347.26053,69us\n986ms
8,2,0.00010533,1.019072111,20,9737.066583,110us\n1.02s
8,4,0.00016589,1.086218855,4,6604.434066,170us\n1.09s
8,8,0.0001847,1.222906485,0,6681.97605,180us\n1.22s
16,1,0.00013082,3.557742198,7,27195.70553,130us\n3.56s
16,2,0.00022916,3.623064456,39,16428.68088,230us\n3.62s
16,4,0.00044756,3.757800162,3,8875.149447,450us\n3.76s
16,8,0.00092403,4.069385211,1,4694.120557,920us\n4.07s
32,1,0.0002652,14.39296746,4,54272.12464,270us\n14.39s
32,2,0.00046901,14.78184593,43,32587.01504,470us\n14.78s
32,4,0.00098703,15.02574184,11,19089.48934,990us\n15.02s
32,8,0.00258511,15.96863169,0,8456.669267,2.59ms\n15.97s
